n,p,d,val
50,30,1,0.982199
50,30,2,0.962334
50,30,3,1.249369
50,30,4,1.201631
50,30,5,1.310612
50,30,6,1.092515
50,30,7,1.337064
50,30,8,1.307719
50,30,9,1.137819
50,30,10,1.127
50,30,11,1.183268
50,30,12,1.5509
50,30,13,1.080433
50,30,14,1.379874
50,30,15,1.180107
50,30,16,1.266269
50,30,17,0.971805
50,30,18,1.158208
50,30,19,1.434761
50,30,20,1.116613
50,30,21,1.062385
50,30,22,1.366612
50,30,23,1.250264
50,30,24,1.26335
50,30,25,1.557029
100,30,1,0.467892
100,30,2,0.441387
100,30,3,0.456482
100,30,4,0.459554
100,30,5,0.622372
100,30,6,0.491909
100,30,7,0.656011
100,30,8,0.50547
100,30,9,0.456357
100,30,10,0.630856
100,30,11,0.584091
100,30,12,0.61389
100,30,13,0.654863
100,30,14,0.550507
100,30,15,0.57081
100,30,16,0.633667
100,30,17,0.551673
100,30,18,0.548544
100,30,19,0.502386
100,30,20,0.554495
100,30,21,0.517845
100,30,22,0.586317
100,30,23,0.66774
100,30,24,0.655314
100,30,25,0.585207
200,30,1,0.223233
200,30,2,0.225894
200,30,3,0.203894
200,30,4,0.247239
200,30,5,0.188422
200,30,6,0.232253
200,30,7,0.221086
200,30,8,0.313298
200,30,9,0.212235
200,30,10,0.221202
200,30,11,0.207527
200,30,12,0.244368
200,30,13,0.207524
200,30,14,0.213781
200,30,15,0.160344
200,30,16,0.240718
200,30,17,0.187376
200,30,18,0.316246
200,30,19,0.238509
200,30,20,0.262869
200,30,21,0.280893
200,30,22,0.240345
200,30,23,0.252609
200,30,24,0.25631
200,30,25,0.204878
400,30,1,0.094929
400,30,2,0.094085
400,30,3,0.117636
400,30,4,0.091638
400,30,5,0.09654
400,30,6,0.098968
400,30,7,0.116459
400,30,8,0.113557
400,30,9,0.085275
400,30,10,0.102405
400,30,11,0.102157
400,30,12,0.094134
400,30,13,0.085833
400,30,14,0.094999
400,30,15,0.104917
400,30,16,0.123851
400,30,17,0.084148
400,30,18,0.093744
400,30,19,0.099991
400,30,20,0.103209
400,30,21,0.102999
400,30,22,0.126995
400,30,23,0.10092
400,30,24,0.140344
400,30,25,0.283509
1000,30,1,0.03459
1000,30,2,0.035382
1000,30,3,0.03429
1000,30,4,0.031086
1000,30,5,0.039016
1000,30,6,0.058638
1000,30,7,0.040846
1000,30,8,0.035353
1000,30,9,0.029656
1000,30,10,0.034838
1000,30,11,0.0435
1000,30,12,0.037015
1000,30,13,0.037194
1000,30,14,0.061394
1000,30,15,0.037462
1000,30,16,0.062728
1000,30,17,0.037566
1000,30,18,0.033405
1000,30,19,0.039494
1000,30,20,0.044359
1000,30,21,0.035912
1000,30,22,0.034878
1000,30,23,0.034597
1000,30,24,0.033733
1000,30,25,0.036276
